date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:29:16	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Sep%202020%2014:29:16%20GMT	http://localhost/robots.txt		(from )
16:29:17	29353/29353	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2014:29:16%20GMT	http://localhost/wordpress/	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/index.html	(from )
16:29:17	53907/53907	---M-Z	200	added ('OK')	text/css	etag:%22d293-5addfb6b23d80-gzip%22	http://localhost/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.5.1	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-includes/css/dist/block-library/style.mind03b.css	(from http://localhost/wordpress/)
16:29:17	121055/121055	---M-Z	200	added ('OK')	text/css	etag:%221d8df-5ac87b9d72380-gzip%22	http://localhost/wordpress/wp-content/themes/twentytwenty/style.css?ver=1.5	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-content/themes/twentytwenty/style7ef2.css	(from http://localhost/wordpress/)
16:29:17	1684/1684	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a6e7576e4f6c6f086966efa4baf369b8-gzip%22	http://localhost/wordpress/feed/	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
16:29:17	2574/2574	---M-Z	200	added ('OK')	text/css	etag:%22a0e-5971146c35d40-gzip%22	http://localhost/wordpress/wp-content/themes/twentytwenty/print.css?ver=1.5	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-content/themes/twentytwenty/print7ef2.css	(from http://localhost/wordpress/)
16:29:18	25570/25570	---M-Z	200	added ('OK')	application/javascript	etag:%2263e2-5a882f9941680-gzip%22	http://localhost/wordpress/wp-content/themes/twentytwenty/assets/js/index.js?ver=1.5	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-content/themes/twentytwenty/assets/js/index7ef2.js	(from http://localhost/wordpress/)
16:29:18	7573/7573	---M--	200	added ('OK')	application/json	date:Wed,%2016%20Sep%202020%2014:29:18%20GMT	http://localhost/wordpress/wp-json/wp/v2/pages/12	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-json/wp/v2/pages/12.json	(from http://localhost/wordpress/)
16:29:18	822/822	---M-Z	200	added ('OK')	text/xml	date:Wed,%2016%20Sep%202020%2014:29:18%20GMT	http://localhost/wordpress/xmlrpc.php?rsd	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/xmlrpc0db0.php	(from http://localhost/wordpress/)
16:29:18	1651/1651	---M-Z	200	added ('OK')	application/rss+xml	etag:%224b97a841087187c4e0e1f5dfffa28d6f-gzip%22	http://localhost/wordpress/comments/feed/	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
16:29:18	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/wordpress/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-includes/wlwmanifest.xml	(from http://localhost/wordpress/)
16:29:18	2474/2474	---M--	200	added ('OK')	application/json	date:Wed,%2016%20Sep%202020%2014:29:18%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2F	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-json/oembed/1.0/embed68f4.json	(from http://localhost/wordpress/)
16:29:19	2601/2601	---M-Z	200	added ('OK')	text/xml	date:Wed,%2016%20Sep%202020%2014:29:19%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2F&format=xml	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-json/oembed/1.0/embedd248	(from http://localhost/wordpress/)
16:29:19	1211/1211	---M--	200	added ('OK')	image/png	etag:%224bb-5af6ea772c578%22	http://localhost/wordpress/wp-content/uploads/2020/09/2020-landscape-1-1.png	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-content/uploads/2020/09/2020-landscape-1-1.png	(from http://localhost/wordpress/)
16:29:19	2333/2333	---M--	200	added ('OK')	image/png	etag:%2291d-59583f2a97700%22	http://localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-three-quarters-1.png	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-three-quarters-1.png	(from http://localhost/wordpress/)
16:29:19	23428/23428	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2014:29:19%20GMT	http://localhost/wordpress/about/	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/about/index.html	(from http://localhost/wordpress/)
16:29:20	27780/27780	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2014:29:20%20GMT	http://localhost/wordpress/blog/	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/blog/index.html	(from http://localhost/wordpress/)
16:29:20	2708/2708	---M--	200	added ('OK')	image/png	etag:%22a94-59583f2a97700%22	http://localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-three-quarters-2.png	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-three-quarters-2.png	(from http://localhost/wordpress/)
16:29:21	2185/2185	---M--	200	added ('OK')	image/png	etag:%22889-59583f2a97700%22	http://localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-three-quarters-4.png	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-three-quarters-4.png	(from http://localhost/wordpress/)
16:29:21	3366/3366	---M--	200	added ('OK')	image/png	etag:%22d26-59583f2a97700%22	http://localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-square-2.png	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-square-2.png	(from http://localhost/wordpress/)
16:29:21	6248/6248	---M--	200	added ('OK')	image/png	etag:%221868-59583f2a97700%22	http://localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-landscape-2.png	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-landscape-2.png	(from http://localhost/wordpress/)
16:29:21	23438/23438	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2014:29:21%20GMT	http://localhost/wordpress/contact/	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/contact/index.html	(from http://localhost/wordpress/)
16:29:22	24536/24536	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2014:29:22%20GMT	http://localhost/wordpress/sample-page/	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/sample-page/index.html	(from http://localhost/wordpress/)
16:29:22	1434/1434	---M-Z	200	added ('OK')	application/javascript	etag:%2259a-595c52fd2e6c0-gzip%22	http://localhost/wordpress/wp-includes/js/wp-embed.min.js?ver=5.5.1	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-includes/js/wp-embed.mind03b.js	(from http://localhost/wordpress/)
16:29:23	4201/4201	---M--	200	added ('OK')	image/png	etag:%221069-59583f2a97700%22	http://localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-square-1.png	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-square-1.png	(from http://localhost/wordpress/)
16:29:24	26106/26106	---M--	200	added ('OK')	image/png	etag:%2265fa-59583f2a97700%22	http://localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-three-quarters-3.png	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-content/themes/twentytwenty/assets/images/2020-three-quarters-3.png	(from http://localhost/wordpress/)
16:29:28	76155/76155	---MC-	200	added ('OK')	application/json	date:Wed,%2016%20Sep%202020%2014:29:19%20GMT	http://localhost/wordpress/wp-json/	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-json/index.html	(from http://localhost/wordpress/)
16:29:28	1698/1698	---M--	200	added ('OK')	application/json	date:Wed,%2016%20Sep%202020%2014:29:28%20GMT	http://localhost/wordpress/wp-json/wp/v2/pages/13	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-json/wp/v2/pages/13.json	(from http://localhost/wordpress/about/)
16:29:28	2268/2268	---M--	200	added ('OK')	application/json	date:Wed,%2016%20Sep%202020%2014:29:28%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fabout%2F	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-json/oembed/1.0/embed4c30.json	(from http://localhost/wordpress/about/)
16:29:28	2356/2356	---M-Z	200	added ('OK')	text/xml	date:Wed,%2016%20Sep%202020%2014:29:28%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2Fabout%2F&format=xml	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-json/oembed/1.0/embed8435	(from http://localhost/wordpress/about/)
16:29:29	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2014:29:28%20GMT	http://localhost/wordpress/?p=13	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/index2dc4.html	(from http://localhost/wordpress/about/)
16:29:29	28427/28427	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2014:29:29%20GMT	http://localhost/wordpress/category/uncategorized/	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/category/uncategorized/index.html	(from http://localhost/wordpress/blog/)
16:29:29	1704/1704	---M--	200	added ('OK')	application/json	date:Wed,%2016%20Sep%202020%2014:29:29%20GMT	http://localhost/wordpress/wp-json/wp/v2/pages/14	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/wp-json/wp/v2/pages/14.json	(from http://localhost/wordpress/contact/)
16:29:29	28372/28372	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2014:29:29%20GMT	http://localhost/wordpress/author/admin/	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/author/admin/index.html	(from http://localhost/wordpress/blog/)
16:29:30	32966/32966	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202020%2014:29:29%20GMT	http://localhost/wordpress/2020/09/16/hello-world/	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/2020/09/16/hello-world/index.html	(from http://localhost/wordpress/blog/)
16:29:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2014:29:30%20GMT	http://localhost/wordpress/?p=14	C:/My%20Web%20Sites/TestCopy/localhost/wordpress/index0b69.html	(from http://localhost/wordpress/contact/)
